A3 | N = 857 - T = 0.000000 - Premier? = 1
A3 | N = 362 - T = 0.000000 - Premier? = 0
A3 | N = 499 - T = 0.000000 - Premier? = 1
A3 | N = 612 - T = 0.000000 - Premier? = 0
A3 | N = 431 - T = 0.000000 - Premier? = 1
A3 | N = 307 - T = 0.000000 - Premier? = 1
A3 | N = 938 - T = 0.000000 - Premier? = 0
A3 | N = 467 - T = 0.000000 - Premier? = 1
A3 | N = 233 - T = 0.000000 - Premier? = 1
A3 | N = 719 - T = 0.000000 - Premier? = 1
A3 | N = 115237 - T = 0.000000 - Premier? = 1
A3 | N = 103291 - T = 0.000000 - Premier? = 1
A3 | N = 118529 - T = 0.000000 - Premier? = 1
A3 | N = 114863 - T = 0.000000 - Premier? = 0
A3 | N = 119003 - T = 0.000000 - Premier? = 0
A3 | N = 111739 - T = 0.000000 - Premier? = 0
A3 | N = 126409 - T = 0.000000 - Premier? = 0
A3 | N = 115049 - T = 0.000000 - Premier? = 0
A3 | N = 125809 - T = 0.000000 - Premier? = 0
A3 | N = 127613 - T = 0.000000 - Premier? = 0
A3 | N = 100013057 - T = 0.000000 - Premier? = 0
A3 | N = 100004189 - T = 0.000100 - Premier? = 1
A3 | N = 100029283 - T = 0.000000 - Premier? = 0
A3 | N = 100024747 - T = 0.000100 - Premier? = 1
A3 | N = 100017587 - T = 0.000000 - Premier? = 0
A3 | N = 100002299 - T = 0.000020 - Premier? = 0
A3 | N = 100013951 - T = 0.000000 - Premier? = 0
A3 | N = 100008293 - T = 0.000000 - Premier? = 0
A3 | N = 100007903 - T = 0.000100 - Premier? = 1
A3 | N = 100030313 - T = 0.000120 - Premier? = 1
